id,BHK,Bathroom,Parking,Price,Per_Sqft,Furnishing
180,1,1.0,1.0,2300000,15687.005888125614,1
181,2,2.0,1.0,5000000,6667.0,1
182,2,2.0,1.0,4700000,6528.0,1
183,2,2.0,1.0,5500000,6875.0,1
184,1,1.0,1.0,2000000,5714.0,1
185,3,2.0,1.0,7300000,7449.0,1
186,4,3.0,1.0,13000000,8125.0,1
187,3,3.0,1.0,11500000,7931.0,1
188,2,2.0,1.0,2800000,7931.0,1
189,1,1.0,1.0,2200000,5789.0,1
190,2,2.0,1.0,4400000,6471.0,1
191,3,3.0,1.0,13500000,8438.0,1
192,2,2.0,1.0,4100000,6508.0,1
193,3,2.0,1.0,12000000,8000.0,1
194,2,2.0,1.0,3500000,6364.0,1
195,4,3.0,1.0,15000000,6000.0,1
196,5,4.0,1.0,17500000,6250.0,1
197,1,1.0,1.0,1900000,6333.0,1
198,3,2.0,1.0,5500000,6875.0,1
199,3,2.0,1.0,10000000,6875.0,1
200,3,2.0,1.0,4700000,6714.0,1
201,1,1.0,1.0,2400000,6714.0,1
202,2,2.0,1.0,3800000,6714.0,1
203,4,4.0,1.0,23000000,6714.0,1
204,4,4.0,1.0,24500000,6714.0,1
205,3,2.0,1.0,10000000,6714.0,1
206,3,2.0,1.0,5500000,6714.0,1
207,3,2.0,1.0,7000000,6714.0,1
208,3,2.0,1.0,6500000,6714.0,1
209,5,4.0,1.0,135000000,28797.0,2
210,2,2.0,1.0,5000000,6667.0,1
211,4,4.0,1.0,93000000,23840.0,2
212,3,2.0,1.0,4370000,4600.0,0
213,3,2.0,1.0,4620000,4620.0,2
214,2,1.0,1.0,1900000,2235.0,1
215,4,4.0,1.0,70000000,2235.0,1
216,3,2.0,1.0,5130000,3800.0,2
217,2,2.0,1.0,3000000,5000.0,1
218,4,4.0,1.0,5890000,4247.0,2
219,2,2.0,1.0,3300000,6111.0,1
220,2,2.0,1.0,24900000,25512.0,0
221,3,2.0,1.0,3700000,3524.0,2
222,4,3.0,1.0,60000000,22222.0,1
223,3,2.0,1.0,17400000,22222.0,2
224,5,5.0,1.0,51000000,22222.0,0
225,5,6.0,4.0,170000000,22222.0,2
226,3,2.0,1.0,5510000,22222.0,1
227,3,3.0,2.0,25000000,22222.0,0
228,3,3.0,1.0,57000000,24718.0,2
229,2,2.0,1.0,2940000,24718.0,1
230,3,3.0,1.0,15500000,24718.0,1
231,3,2.0,1.0,17200000,24718.0,1
232,4,3.0,2.0,55000000,30556.0,1
233,2,2.0,1.0,15000000,30556.0,1
234,4,4.0,2.0,51000000,30556.0,1
235,4,3.0,1.0,13000000,30556.0,1
236,3,3.0,1.0,30000000,18750.0,1
237,2,2.0,1.0,2400000,18750.0,1
238,4,3.0,1.0,5500000,18750.0,2
239,4,4.0,2.0,45000000,15687.005888125614,1
240,4,4.0,2.0,60000000,120000.0,1
241,4,4.0,2.0,65000000,120000.0,1
242,5,5.0,9.0,220000000,120000.0,1
243,4,4.0,2.0,60000000,120000.0,2
244,3,3.0,2.0,38500000,120000.0,1
245,3,3.0,2.0,50000000,120000.0,1
246,4,4.0,2.0,75000000,120000.0,1
247,4,4.0,2.0,70000000,120000.0,0
248,4,7.0,3.0,160000000,15459.0,1
249,3,4.0,1.0,85000000,15459.0,1
250,3,3.0,2.0,40000000,15459.0,1
251,4,4.0,2.0,90000000,15459.0,2
252,4,5.0,2.0,56000000,15459.0,1
253,5,5.0,2.0,135500000,15459.0,1
254,3,3.0,2.0,60000000,15459.0,1
255,4,5.0,4.0,170000000,15459.0,2
256,4,4.0,2.0,50000000,15459.0,1
257,4,5.0,2.0,58000000,15459.0,1
258,3,3.0,2.0,37500000,15459.0,1
259,3,3.0,1.0,45000000,15459.0,2
260,4,4.0,3.0,70000000,15459.0,1
261,6,4.0,2.0,29500000,15459.0,1
262,4,4.0,1.0,60000000,23529.0,2
263,4,4.0,2.0,70000000,23529.0,1
264,3,3.0,2.0,50000000,23529.0,1
265,4,5.0,2.0,75000000,23529.0,1
266,4,4.0,2.0,52500000,23529.0,1
267,4,4.0,2.0,55000000,23529.0,1
268,4,4.0,2.0,120000000,16667.0,1
269,4,4.0,1.0,65000000,15687.005888125614,1
270,4,4.0,2.0,75000000,15687.005888125614,2
271,4,4.0,2.0,47500000,15687.005888125614,1
272,5,5.0,1.0,70000000,20000.0,1
273,4,4.0,2.0,47500000,20000.0,1
274,4,4.0,1.0,40000000,20000.0,1
275,4,4.0,3.0,85000000,20000.0,1
276,3,3.0,3.0,26000000,20000.0,1
277,4,4.0,3.0,35000000,11111.0,1
278,2,2.0,3.0,20000000,11111.0,1
279,4,5.0,3.0,79000000,21409.0,1
280,3,2.0,3.0,17000000,21409.0,1
281,4,4.0,2.0,47500000,95000.0,1
282,4,4.0,2.0,43000000,15363.0,1
283,3,3.0,1.0,26000000,19259.0,2
284,3,3.0,1.0,25000000,20833.0,2
285,4,5.0,2.0,51000000,20833.0,1
286,3,3.0,2.0,40000000,20833.0,1
287,3,3.0,1.0,22500000,20833.0,2
288,4,4.0,1.0,70000000,20833.0,1
289,4,4.0,2.0,45000000,20930.0,2
290,4,4.0,2.0,51100000,20930.0,1
291,3,3.0,1.0,25500000,20930.0,1
292,3,3.0,2.0,26500000,20930.0,2
293,2,2.0,1.0,15000000,20930.0,2
294,4,4.0,2.0,55000000,20930.0,1
295,3,3.0,2.0,26000000,20930.0,1
296,4,4.0,2.0,38000000,20930.0,1
297,4,5.0,2.0,72500000,20930.0,1
298,4,5.0,4.0,65000000,20930.0,1
299,2,2.0,1.0,4600000,15687.005888125614,2
300,2,2.0,1.0,9200000,15687.005888125614,1
301,4,3.0,2.0,9500000,15687.005888125614,2
302,2,2.0,1.0,4500000,15687.005888125614,1
303,3,2.0,1.0,6500000,15687.005888125614,1
304,3,2.0,1.0,5650000,15687.005888125614,0
305,3,3.0,1.0,9300000,6526.0,1
306,2,2.0,1.0,2700000,6526.0,2
307,2,2.0,1.0,6500000,6526.0,0
308,2,2.0,1.0,5800000,6526.0,1
309,3,2.0,1.0,5500000,6526.0,1
310,3,2.0,1.0,6000000,6526.0,1
311,2,2.0,1.0,4500000,6526.0,2
312,2,2.0,2.0,4100000,6526.0,1
313,3,2.0,2.0,3800000,6526.0,1
314,2,1.0,1.0,3300000,6526.0,2
315,2,1.0,1.0,2900000,6526.0,2
316,2,1.0,1.0,2000000,6526.0,2
317,2,1.0,1.0,1550000,6526.0,2
318,4,3.0,1.0,11300000,6526.0,1
319,3,2.0,1.0,4500000,6526.0,1
320,2,1.0,1.0,3300000,3901.0,2
321,4,3.0,1.0,11500000,3901.0,0
322,3,2.0,1.0,6000000,3901.0,1
323,3,2.0,1.0,9000000,3901.0,1
324,2,2.0,1.0,4500000,3901.0,0
325,4,3.0,1.0,14000000,3901.0,0
326,2,2.0,1.0,7300000,6347.0,1
327,1,1.0,1.0,1900000,41304.0,0
328,3,2.0,4.0,7000000,41304.0,0
329,3,2.0,1.0,6000000,15687.005888125614,1
330,1,2.0,1.0,6400000,15687.005888125614,1
331,2,1.0,1.0,2700000,5000.0,0
332,2,2.0,1.0,6500000,8701.0,0
333,2,1.0,1.0,4000000,5556.0,2
334,1,1.0,1.0,3000000,85715.0,1
335,2,2.0,1.0,5000000,4444.0,2
336,2,2.0,1.0,6000000,4444.0,1
337,1,1.0,1.0,2500000,6944.0,2
338,2,2.0,1.0,6500000,7222.0,1
339,3,1.0,1.0,8000000,11220.0,2
340,2,1.0,1.0,2700000,5357.0,0
341,1,2.0,1.0,4500000,5357.0,2
342,3,2.0,1.0,5700000,6706.0,0
343,4,3.0,1.0,25000000,10288.0,0
344,3,3.0,1.0,70000000,28283.0,0
345,7,4.0,1.0,26500000,8923.0,0
346,3,2.0,1.0,18500000,8222.0,0
347,5,3.0,1.0,30000000,20000.0,0
348,2,2.0,1.0,22000000,14550.0,0
349,2,2.0,1.0,9000000,14550.0,0
350,3,3.0,1.0,65000000,30093.0,0
351,3,2.0,1.0,22500000,35714.0,0
352,6,3.0,1.0,8700000,35714.0,0
353,6,5.0,1.0,22000000,35714.0,0
354,4,2.0,2.0,18500000,35714.0,0
355,2,1.0,2.0,16000000,22857.0,0
356,4,3.0,2.0,16000000,22857.0,0
357,4,2.0,2.0,9000000,12500.0,0
358,2,2.0,1.0,4500000,12500.0,0
359,3,2.0,1.0,6000000,15687.005888125614,1
360,1,2.0,1.0,2700000,15687.005888125614,2
361,3,2.0,1.0,6500000,15687.005888125614,2
362,3,2.0,1.0,4000000,4040.0,2
363,2,1.0,1.0,2600000,4040.0,1
364,2,1.0,1.0,3500000,7778.0,1
365,2,2.0,1.0,7500000,7778.0,2
366,3,2.0,1.0,7000000,7778.0,1
367,3,2.0,1.0,4500000,7778.0,1
368,3,3.0,2.0,5500000,7778.0,1
369,2,1.0,2.0,2700000,7778.0,1
370,2,2.0,2.0,2400000,32000.0,0
371,4,3.0,2.0,11500000,32000.0,2
372,2,2.0,2.0,3600000,32000.0,2
373,1,2.0,2.0,1700000,32000.0,2
374,2,1.0,2.0,2500000,32000.0,2
375,4,2.0,1.0,6600000,32000.0,0
376,2,1.0,1.0,3700000,32000.0,1
377,2,1.0,1.0,3500000,32000.0,2
378,3,2.0,1.0,5400000,32000.0,1
379,2,2.0,1.0,2550000,5666.0,1
380,3,3.0,1.0,12500000,5666.0,0
